Symbol;Security;SEC filings;GICS Sector;GICS Sub Industry;Headquarters Location;Latitude;Longitude
AVY;Avery Dennison Corp;reports;Materials;Paper Packaging;Glendale, California;38.57944;-121.49085
BHGE;Baker Hughes, a GE Company;reports;Energy;Oil & Gas Equipment & Services;Houston, Texas;30.26759;-97.74299
BLL;Ball Corp;reports;Materials;Metal & Glass Containers;Broomfield, Colorado;39.74001;-104.99202
BAC;Bank of America Corp;reports;Financials;Diversified Banks;Charlotte, North Carolina;35.78551;-78.64267
BK;The Bank of New York Mellon Corp.;reports;Financials;Asset Management & Custody Banks;New York, New York;40.71455;-74.00714
BAX;Baxter International Inc.;reports;Health Care;Health Care Equipment;Deerfield, Illinois;39.8013;-89.6436
BBT;BB&T Corporation;reports;Financials;Regional Banks;Winston-Salem, North Carolina;35.78551;-78.64267
BDX;Becton Dickinson;reports;Health Care;Health Care Equipment;Franklin Lakes, New Jersey;40.21788;-74.7594
BRK.B;Berkshire Hathaway;reports;Financials;Multi-Sector Holdings;Omaha, Nebraska;40.81362;-96.7073
BBY;Best Buy Co. Inc.;reports;Consumer Discretionary;Computer & Electronics Retail;Richfield, Minnesota;44.94339;-93.09648
BIIB;Biogen Inc.;reports;Health Care;Biotechnology;Weston, Massachusetts;42.35866;-71.05675
BLK;BlackRock;reports;Financials;Asset Management & Custody Banks;New York, New York;40.71455;-74.00714
HRB;Block H&R;reports;Consumer Discretionary;Specialized Consumer Services;Kansas City, Missouri;38.57751;-92.17784
BA;Boeing Company;reports;Industrials;Aerospace & Defense;Chicago, Illinois;39.8013;-89.6436
BKNG;Booking Holdings Inc;reports;Consumer Discretionary;Internet & Direct Marketing Retail;Norwalk, Connecticut;41.76376;-72.67394
BWA;BorgWarner;reports;Consumer Discretionary;Auto Parts & Equipment;Auburn Hills, Michigan;42.73194;-84.55225
BXP;Boston Properties;reports;Real Estate;Office REITs;Boston, Massachusetts;42.35866;-71.05675
BSX;Boston Scientific;reports;Health Care;Health Care Equipment;Marlborough, Massachusetts[4];43.84842;-81.34286
BMY;Bristol-Myers Squibb;reports;Health Care;Health Care Distributors;New York, New York;40.71455;-74.00714
AVGO;Broadcom;reports;Information Technology;Semiconductors;San Jose, California;38.57944;-121.49085
BR;Broadridge Financial Solutions;reports;Information Technology;Data Processing & Outsourced Services;Lake Success, New York;40.71455;-74.00714
BF.B;Brown-Forman Corp.;reports;Consumer Staples;Distillers & Vintners;Louisville, Kentucky;38.19507;-84.87869
CHRW;C. H. Robinson Worldwide;reports;Industrials;Air Freight & Logistics;Eden Prairie, Minnesota;44.94339;-93.09648
COG;Cabot Oil & Gas;reports;Energy;Oil & Gas Exploration & Production;Houston, Texas;30.26759;-97.74299
CDNS;Cadence Design Systems;reports;Information Technology;Application Software;San Jose, California;38.57944;-121.49085
CPB;Campbell Soup;reports;Consumer Staples;Packaged Foods & Meats;Camden, New Jersey;40.21788;-74.7594
COF;Capital One Financial;reports;Financials;Consumer Finance;Tysons Corner, Virginia;37.5407;-77.43365
CPRI;Capri Holdings;reports;Consumer Discretionary;Apparel, Accessories & Luxury Goods;New York, New York;40.71455;-74.00714
CAH;Cardinal Health Inc.;reports;Health Care;Health Care Distributors;Dublin, Ohio;39.96199;-83.00276
KMX;Carmax Inc;reports;Consumer Discretionary;Specialty Stores;Richmond, Virginia;37.5407;-77.43365
CCL;Carnival Corp.;reports;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Miami, Florida;30.43977;-84.28065
CAT;Caterpillar Inc.;reports;Industrials;Construction Machinery & Heavy Trucks;Peoria, Illinois;39.8013;-89.6436
CBOE;Cboe Global Markets;reports;Financials;Financial Exchanges & Data;Chicago, Illinois;39.8013;-89.6436
CBRE;CBRE Group;reports;Real Estate;Real Estate Services;Los Angeles, California;38.57944;-121.49085
CBS;CBS Corp.;reports;Communication Services;Broadcasting;New York, New York;40.71455;-74.00714
CE;Celanese Corp.;reports;Materials;Specialty Chemicals;Irving, Texas;30.26759;-97.74299
CELG;Celgene Corp.;reports;Health Care;Biotechnology;Summit, New Jersey;40.21788;-74.7594
CNC;Centene Corporation;reports;Health Care;Managed Health Care;St Louis, Missouri;38.57751;-92.17784
CNP;CenterPoint Energy;reports;Utilities;Multi-Utilities;Houston, Texas;30.26759;-97.74299
